Year,Age_Group,Sex,Education_Attainment_Level,NUTS_2_Region,VALUE
2019,20 - 24 years,Male,Less than primary (Level 0),Northern and Western,0.0
2019,20 - 24 years,Male,Less than primary (Level 0),Southern,0.0
2019,20 - 24 years,Male,Less than primary (Level 0),Eastern and Midland,0.0
2019,20 - 24 years,Male,Primary and lower secondary education (Levels 1-2),Northern and Western,0.0
2019,20 - 24 years,Male,Primary and lower secondary education (Levels 1-2),Southern,0.0
2019,20 - 24 years,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,36.5
2019,20 - 24 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,63.8
2019,20 - 24 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,62.4
2019,20 - 24 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,65.5
2019,20 - 24 years,Male,Tertiary education (Levels 5-8),Northern and Western,74.3
2019,20 - 24 years,Male,Tertiary education (Levels 5-8),Southern,78.9
2019,20 - 24 years,Male,Tertiary education (Levels 5-8),Eastern and Midland,82.9
2019,20 - 24 years,Male,Level of education - not stated,Northern and Western,0.0
2019,20 - 24 years,Male,Level of education - not stated,Southern,0.0
2019,20 - 24 years,Male,Level of education - not stated,Eastern and Midland,0.0
2019,20 - 24 years,Female,Less than primary (Level 0),Northern and Western,0.0
2019,20 - 24 years,Female,Less than primary (Level 0),Southern,0.0
2019,20 - 24 years,Female,Less than primary (Level 0),Eastern and Midland,0.0
2019,20 - 24 years,Female,Primary and lower secondary education (Levels 1-2),Northern and Western,0.0
2019,20 - 24 years,Female,Primary and lower secondary education (Levels 1-2),Southern,0.0
2019,20 - 24 years,Female,Primary and lower secondary education (Levels 1-2),Eastern and Midland,0.0
2019,20 - 24 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,59.2
2019,20 - 24 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,58.8
2019,20 - 24 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,60.3
2019,20 - 24 years,Female,Tertiary education (Levels 5-8),Northern and Western,77.0
2019,20 - 24 years,Female,Tertiary education (Levels 5-8),Southern,78.3
2019,20 - 24 years,Female,Tertiary education (Levels 5-8),Eastern and Midland,82.7
2019,20 - 24 years,Female,Level of education - not stated,Northern and Western,0.0
2019,20 - 24 years,Female,Level of education - not stated,Southern,0.0
2019,20 - 24 years,Female,Level of education - not stated,Eastern and Midland,0.0
2019,25 - 29 years,Male,Less than primary (Level 0),Northern and Western,0.0
2019,25 - 29 years,Male,Less than primary (Level 0),Southern,0.0
2019,25 - 29 years,Male,Less than primary (Level 0),Eastern and Midland,0.0
2019,25 - 29 years,Male,Primary and lower secondary education (Levels 1-2),Northern and Western,0.0
2019,25 - 29 years,Male,Primary and lower secondary education (Levels 1-2),Southern,0.0
2019,25 - 29 years,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,64.3
2019,25 - 29 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,82.1
2019,25 - 29 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,80.4
2019,25 - 29 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,81.6
2019,25 - 29 years,Male,Tertiary education (Levels 5-8),Northern and Western,86.9
2019,25 - 29 years,Male,Tertiary education (Levels 5-8),Southern,85.4
2019,25 - 29 years,Male,Tertiary education (Levels 5-8),Eastern and Midland,90.6
2019,25 - 29 years,Male,Level of education - not stated,Northern and Western,0.0
2019,25 - 29 years,Male,Level of education - not stated,Southern,83.1
2019,25 - 29 years,Male,Level of education - not stated,Eastern and Midland,76.7
2019,25 - 29 years,Female,Less than primary (Level 0),Northern and Western,0.0
2019,25 - 29 years,Female,Less than primary (Level 0),Southern,0.0
2019,25 - 29 years,Female,Less than primary (Level 0),Eastern and Midland,0.0
2019,25 - 29 years,Female,Primary and lower secondary education (Levels 1-2),Northern and Western,0.0
2019,25 - 29 years,Female,Primary and lower secondary education (Levels 1-2),Southern,0.0
2019,25 - 29 years,Female,Primary and lower secondary education (Levels 1-2),Eastern and Midland,0.0
2019,25 - 29 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,68.5
2019,25 - 29 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,66.3
2019,25 - 29 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,66.3
2019,25 - 29 years,Female,Tertiary education (Levels 5-8),Northern and Western,77.9
2019,25 - 29 years,Female,Tertiary education (Levels 5-8),Southern,83.5
2019,25 - 29 years,Female,Tertiary education (Levels 5-8),Eastern and Midland,86.3
2019,25 - 29 years,Female,Level of education - not stated,Northern and Western,0.0
2019,25 - 29 years,Female,Level of education - not stated,Southern,0.0
2019,25 - 29 years,Female,Level of education - not stated,Eastern and Midland,85.9
2019,30 - 34 years,Male,Less than primary (Level 0),Northern and Western,0.0
2019,30 - 34 years,Male,Less than primary (Level 0),Southern,0.0
2019,30 - 34 years,Male,Less than primary (Level 0),Eastern and Midland,0.0
2019,30 - 34 years,Male,Primary and lower secondary education (Levels 1-2),Northern and Western,0.0
2019,30 - 34 years,Male,Primary and lower secondary education (Levels 1-2),Southern,63.0
2019,30 - 34 years,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,67.5
2019,30 - 34 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,88.5
2019,30 - 34 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,88.3
2019,30 - 34 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,87.2
2019,30 - 34 years,Male,Tertiary education (Levels 5-8),Northern and Western,94.4
2019,30 - 34 years,Male,Tertiary education (Levels 5-8),Southern,91.7
2019,30 - 34 years,Male,Tertiary education (Levels 5-8),Eastern and Midland,94.3
2019,30 - 34 years,Male,Level of education - not stated,Northern and Western,0.0
2019,30 - 34 years,Male,Level of education - not stated,Southern,77.3
2019,30 - 34 years,Male,Level of education - not stated,Eastern and Midland,90.3
2019,30 - 34 years,Female,Less than primary (Level 0),Northern and Western,0.0
2019,30 - 34 years,Female,Less than primary (Level 0),Southern,0.0
2019,30 - 34 years,Female,Less than primary (Level 0),Eastern and Midland,0.0
2019,30 - 34 years,Female,Primary and lower secondary education (Levels 1-2),Northern and Western,0.0
2019,30 - 34 years,Female,Primary and lower secondary education (Levels 1-2),Southern,0.0
2019,30 - 34 years,Female,Primary and lower secondary education (Levels 1-2),Eastern and Midland,35.4
2019,30 - 34 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,70.2
2019,30 - 34 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,65.1
2019,30 - 34 years,Female,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Eastern and Midland,64.8
2019,30 - 34 years,Female,Tertiary education (Levels 5-8),Northern and Western,83.0
2019,30 - 34 years,Female,Tertiary education (Levels 5-8),Southern,84.3
2019,30 - 34 years,Female,Tertiary education (Levels 5-8),Eastern and Midland,83.3
2019,30 - 34 years,Female,Level of education - not stated,Northern and Western,0.0
2019,30 - 34 years,Female,Level of education - not stated,Southern,66.8
2019,30 - 34 years,Female,Level of education - not stated,Eastern and Midland,68.4
2019,35 - 39 years,Male,Less than primary (Level 0),Northern and Western,0.0
2019,35 - 39 years,Male,Less than primary (Level 0),Southern,0.0
2019,35 - 39 years,Male,Less than primary (Level 0),Eastern and Midland,0.0
2019,35 - 39 years,Male,Primary and lower secondary education (Levels 1-2),Northern and Western,68.5
2019,35 - 39 years,Male,Primary and lower secondary education (Levels 1-2),Southern,67.0
2019,35 - 39 years,Male,Primary and lower secondary education (Levels 1-2),Eastern and Midland,67.8
2019,35 - 39 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Northern and Western,87.1
2019,35 - 39 years,Male,Upper secondary and post-secondary non-tertiary education (Levels 3 and 4),Southern,89.1
